input,recipe_name,output
rice ghee onion coriander carrot yogurt,Carrot Biryani,"### CONTEXT
Ingredients: rice, ghee, onion, coriander, carrot, yogurt

### ANSWER
<RECIPE_NAME> Carrot Biryani
<STEP> Heat ghee in a pot and sauté ghee until fragrant.
<STEP> Add onion and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add coriander and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with onion.
<END>"
rice mint paneer coriander,Paneer Biryani,"### CONTEXT
Ingredients: rice, mint, paneer, coriander

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté mint until fragrant.
<STEP> Add paneer and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add coriander and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with paneer.
<END>"
spinach peas carrot garlic cauliflower butter oil,Cauliflower Fry,"### CONTEXT
Ingredients: spinach, peas, carrot, garlic, cauliflower, butter, oil

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté peas until aromatic.
<STEP> Add spinach and cook on medium heat until sealed.
<STEP> Add carrot and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with carrot and garlic.
<END>"
rice carrot potato egg,Egg Pulao,"### CONTEXT
Ingredients: rice, carrot, potato, egg

### ANSWER
<RECIPE_NAME> Egg Pulao
<STEP> Heat ghee in a pot and sauté carrot until fragrant.
<STEP> Add potato and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add egg and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with potato.
<END>"
chicken mint butter ginger garlic lemon hung curd,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, mint, butter, ginger, garlic, lemon, hung curd

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with mint, butter and ginger thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with mint and lemon.
<END>"
rice ghee egg potato carrot beans cashew,Egg Pulao,"### CONTEXT
Ingredients: rice, ghee, egg, potato, carrot, beans, cashew

### ANSWER
<RECIPE_NAME> Egg Pulao
<STEP> Heat ghee in a pot and sauté ghee until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add potato and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
mushroom carrot potato okra,Potato Curry,"### CONTEXT
Ingredients: mushroom, carrot, potato, okra

### ANSWER
<RECIPE_NAME> Potato Curry
<STEP> Heat oil in pan and sauté carrot until slightly golden.
<STEP> Add potato and cook until the mixture turns soft.
<STEP> Add mushroom with okra and stir gently to coat.
<STEP> Cook the mixture until mushroom absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour mushroom yogurt ghee,Paratha,"### CONTEXT
Ingredients: flour, mushroom, yogurt, ghee

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with mushroom and yogurt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with mushroom or yogurt.
<END>"
flour salt ghee water milk,Chapati,"### CONTEXT
Ingredients: flour, salt, ghee, water, milk

### ANSWER
<RECIPE_NAME> Chapati
<STEP> Mix flour with salt and ghee until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little water.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with salt or yogurt.
<END>"
mutton oil garlic potato ginger spinach,Mutton Curry,"### CONTEXT
Ingredients: mutton, oil, garlic, potato, ginger, spinach

### ANSWER
<RECIPE_NAME> Mutton Curry
<STEP> Heat oil in pan and sauté oil until slightly golden.
<STEP> Add garlic and cook until the mixture turns soft.
<STEP> Add mutton with potato and stir gently to coat.
<STEP> Cook the mixture until mutton absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour salt onion yogurt,Onion Paratha,"### CONTEXT
Ingredients: flour, salt, onion, yogurt

### ANSWER
<RECIPE_NAME> Onion Paratha
<STEP> Mix flour with salt and onion until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little yogurt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with salt or yogurt.
<END>"
rice mushroom egg raisins ghee onion potato,Egg Biryani,"### CONTEXT
Ingredients: rice, mushroom, egg, raisins, ghee, onion, potato

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté mushroom until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add raisins and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
rice yogurt egg beans paneer,Paneer Biryani,"### CONTEXT
Ingredients: rice, yogurt, egg, beans, paneer

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté yogurt until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add beans and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
paneer peas brinjal garlic,Paneer Butter Masala,"### CONTEXT
Ingredients: paneer, peas, brinjal, garlic

### ANSWER
<RECIPE_NAME> Paneer Butter Masala
<STEP> Heat oil in pan and sauté peas until slightly golden.
<STEP> Add brinjal and cook until the mixture turns soft.
<STEP> Add paneer with garlic and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
potato onion butter cauliflower capsicum garlic spinach,Potato Fry,"### CONTEXT
Ingredients: potato, onion, butter, cauliflower, capsicum, garlic, spinach

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add potato and cook on medium heat until sealed.
<STEP> Add butter and stir continuously so ingredients combine well.
<STEP> Mix in cauliflower and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with butter and cauliflower.
<END>"
flour peas yogurt paneer mushroom potato salt,Paneer Paratha,"### CONTEXT
Ingredients: flour, peas, yogurt, paneer, mushroom, potato, salt

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with peas and yogurt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little paneer.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with peas or yogurt.
<END>"
chicken mint lemon cream ginger,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, mint, lemon, cream, ginger

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with mint, lemon and cream thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with mint and lemon.
<END>"
rice cashew yogurt ghee potato,Potato Biryani,"### CONTEXT
Ingredients: rice, cashew, yogurt, ghee, potato

### ANSWER
<RECIPE_NAME> Potato Biryani
<STEP> Heat ghee in a pot and sauté cashew until fragrant.
<STEP> Add yogurt and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with yogurt.
<END>"
rice capsicum ghee cashew carrot peas,Peas Pulao,"### CONTEXT
Ingredients: rice, capsicum, ghee, cashew, carrot, peas

### ANSWER
<RECIPE_NAME> Peas Pulao
<STEP> Heat ghee in a pot and sauté capsicum until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add cashew and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
chicken hung curd garlic cream butter,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, hung curd, garlic, cream, butter

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with hung curd, garlic and cream thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with hung curd and lemon.
<END>"
flour salt oil ghee,Roti,"### CONTEXT
Ingredients: flour, salt, oil, ghee

### ANSWER
<RECIPE_NAME> Roti
<STEP> Mix flour with salt and oil until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with salt or yogurt.
<END>"
chicken butter cream coriander lemon garlic,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, butter, cream, coriander, lemon, garlic

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with butter, cream and coriander thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with butter and lemon.
<END>"
rice mint coriander yogurt,Mint Biryani,"### CONTEXT
Ingredients: rice, mint, coriander, yogurt

### ANSWER
<RECIPE_NAME> Mint Biryani
<STEP> Heat ghee in a pot and sauté mint until fragrant.
<STEP> Add coriander and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add yogurt and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with coriander.
<END>"
flour milk oil ghee curd salt,Chapati,"### CONTEXT
Ingredients: flour, milk, oil, ghee, curd, salt

### ANSWER
<RECIPE_NAME> Chapati
<STEP> Mix flour with milk and oil until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with milk or yogurt.
<END>"
flour onion spinach cauliflower water,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, onion, spinach, cauliflower, water

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with onion and spinach until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little cauliflower.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with onion or yogurt.
<END>"
rice capsicum carrot cashew,Carrot Pulao,"### CONTEXT
Ingredients: rice, capsicum, carrot, cashew

### ANSWER
<RECIPE_NAME> Carrot Pulao
<STEP> Heat ghee in a pot and sauté capsicum until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add cashew and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
flour water curd,Chapati,"### CONTEXT
Ingredients: flour, water, curd

### ANSWER
<RECIPE_NAME> Chapati
<STEP> Mix flour with water and curd until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little water.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with water or yogurt.
<END>"
rice beans paneer potato ghee,Paneer Biryani,"### CONTEXT
Ingredients: rice, beans, paneer, potato, ghee

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté beans until fragrant.
<STEP> Add paneer and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add potato and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with paneer.
<END>"
brinjal carrot capsicum oil butter spinach cauliflower,Cauliflower Fry,"### CONTEXT
Ingredients: brinjal, carrot, capsicum, oil, butter, spinach, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté carrot until aromatic.
<STEP> Add brinjal and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in oil and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and oil.
<END>"
rice cashew egg potato,Egg Biryani,"### CONTEXT
Ingredients: rice, cashew, egg, potato

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté cashew until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add potato and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
flour oil peas salt potato mushroom cauliflower,Potato Paratha,"### CONTEXT
Ingredients: flour, oil, peas, salt, potato, mushroom, cauliflower

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with oil and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little salt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with oil or yogurt.
<END>"
carrot cauliflower peas potato beans,Potato Fry,"### CONTEXT
Ingredients: carrot, cauliflower, peas, potato, beans

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté cauliflower until aromatic.
<STEP> Add carrot and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in potato and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and potato.
<END>"
flour onion mushroom salt,Paratha,"### CONTEXT
Ingredients: flour, onion, mushroom, salt

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with onion and mushroom until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little salt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with onion or yogurt.
<END>"
flour oil water ghee milk,Tandoori Roti,"### CONTEXT
Ingredients: flour, oil, water, ghee, milk

### ANSWER
<RECIPE_NAME> Tandoori Roti
<STEP> Mix flour with oil and water until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with oil or yogurt.
<END>"
paneer ginger garlic cream lemon hung curd,Tandoori Paneer,"### CONTEXT
Ingredients: paneer, ginger, garlic, cream, lemon, hung curd

### ANSWER
<RECIPE_NAME> Tandoori Paneer
<STEP> Marinate paneer with ginger, garlic and cream thoroughly.
<STEP> Coat the mixture well so paneer absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated paneer rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with ginger and lemon.
<END>"
peas carrot oil,Peas Curry,"### CONTEXT
Ingredients: peas, carrot, oil

### ANSWER
<RECIPE_NAME> Peas Curry
<STEP> Heat oil in pan and sauté carrot until slightly golden.
<STEP> Add oil and cook until the mixture turns soft.
<STEP> Add peas with carrot and stir gently to coat.
<STEP> Cook the mixture until peas absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
paneer spinach peas ginger capsicum cream cashew paste,Malai Paneer,"### CONTEXT
Ingredients: paneer, spinach, peas, ginger, capsicum, cream, cashew paste

### ANSWER
<RECIPE_NAME> Malai Paneer
<STEP> Heat oil in pan and sauté spinach until slightly golden.
<STEP> Add peas and cook until the mixture turns soft.
<STEP> Add paneer with ginger and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
mushroom capsicum butter oil cauliflower onion,Cauliflower Fry,"### CONTEXT
Ingredients: mushroom, capsicum, butter, oil, cauliflower, onion

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté capsicum until aromatic.
<STEP> Add mushroom and cook on medium heat until sealed.
<STEP> Add butter and stir continuously so ingredients combine well.
<STEP> Mix in oil and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with butter and oil.
<END>"
rice paneer egg ghee,Paneer Pulao,"### CONTEXT
Ingredients: rice, paneer, egg, ghee

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté paneer until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
rice potato ghee mint beans,Potato Biryani,"### CONTEXT
Ingredients: rice, potato, ghee, mint, beans

### ANSWER
<RECIPE_NAME> Potato Biryani
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mint and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
flour oil curd ghee salt,Tandoori Roti,"### CONTEXT
Ingredients: flour, oil, curd, ghee, salt

### ANSWER
<RECIPE_NAME> Tandoori Roti
<STEP> Mix flour with oil and curd until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with oil or yogurt.
<END>"
flour peas yogurt mushroom water,Paratha,"### CONTEXT
Ingredients: flour, peas, yogurt, mushroom, water

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with peas and yogurt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little mushroom.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with peas or yogurt.
<END>"
rice egg paneer mushroom yogurt,Paneer Biryani,"### CONTEXT
Ingredients: rice, egg, paneer, mushroom, yogurt

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add paneer and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mushroom and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with paneer.
<END>"
rice capsicum peas onion,Peas Pulao,"### CONTEXT
Ingredients: rice, capsicum, peas, onion

### ANSWER
<RECIPE_NAME> Peas Pulao
<STEP> Heat ghee in a pot and sauté capsicum until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add onion and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
